Date,Passengers,Flights,Revenue,Capacity
2018-06-01,80847057.0,809686,94290701,107809753
2018-07-01,83931238.0,841499,98808435,112578593
2018-08-01,80962656.0,833431,94770872,109960864
2018-09-01,68676547.0,751454,79036033,98009918
2018-10-01,75480626.0,789191,84306338,101124339
2018-11-01,72712176.0,742649,79393004,94787234
2018-12-01,72855340.0,764065,82688789,100341922
2019-01-01,66990634.0,739803,76865026,96903359
2019-02-01,63551231.0,673087,70697283,87838108
2019-03-01,80181591.0,806233,89896073,105153015
2019-04-01,76399263.0,781801,86128147,101760222
2019-05-01,81316469.0,815270,92478276,107339395
2019-06-01,83808577.0,820663,97735383,110009983
2019-07-01,86925851.0,851326,101723592,114833182
2019-08-01,83751188.0,848650,97950411,113033164
2019-09-01,72569324.0,769351,83297229,101022100
2019-10-01,78600600.0,805988,87614104,104382246
2019-11-01,73057527.0,758402,80488836,98465127
2019-12-01,79284659.0,793144,89924177,105292875
2020-01-01,70767768.0,770528,81008896,101149378
2020-02-01,67813206.0,724758,73863606,92814125
2020-03-01,39058775.0,667244,42756095,82498651
2020-04-01,3013899.0,222280,2907889,21030499
2020-05-01,9888029.0,257446,8596904,23866380
2020-06-01,16610992.0,280256,14904189,27521340
2020-07-01,24053884.0,427918,22058844,45793931
2020-08-01,25831100.0,459910,23814064,49979942
2020-09-01,25268025.0,397791,23063760,43165905
2020-10-01,30009436.0,433913,27858809,49271621
2020-11-01,28757534.0,450701,27949973,53674509
2020-12-01,30532865.0,467620,30826732,57387103
2021-01-01,27291696.0,449262,27792473,55241945
2021-02-01,26604490.0,396590,26318431,48894173
2021-03-01,42796798.0,541632,42678566,67259515
2021-04-01,47796661.0,555249,47638554,68916725
2021-05-01,57693367.0,610401,57814938,76718359
2021-06-01,66145224.0,666566,68533017,84559672
2021-07-01,73772808.0,717100,78039874,92551868
2021-08-01,66988064.0,712664,71730666,91174089
2021-09-01,58746082.0,654042,60545242,83937590
2021-10-01,65906829.0,677379,66919419,87171954
2021-11-01,65777748.0,668512,67941900,86145540
2021-12-01,66628465.0,665686,71870782,90124701
2022-01-01,51863112.0,628054,56453337,85200910
2022-02-01,54801918.0,586629,58032817,79148105
2022-03-01,72489903.0,691979,77887859,94020835
2022-04-01,71916439.0,679597,78800100,92444015
2022-05-01,75777537.0,709698,83495540,97237814
2022-06-01,77392138.0,708118,87619968,98299154
2022-07-01,80375197.0,739118,92074279,104620153
2022-08-01,76635996.0,726120,87914480,103082546
2022-09-01,71426961.0,679388,80324058,94984116
2022-10-01,76349699.0,697047,84114840,98098981
2022-11-01,71896946.0,664820,78886747,94867498
2022-12-01,71887680.0,663948,82320321,98645259
2023-01-01,67351033.0,672803,76648988,98932209
2023-02-01,64796891.0,628345,71584338,91249104
2023-03-01,79803140.0,726912,89569950,106763461
2023-04-01,77580219.0,706238,88134739,104324115
2023-05-01,81782319.0,739255,93548998,109772094
2023-06-01,84027126.0,736572,98672591,111469028
2023-07-01,87810772.0,764677,103643904,117312202
2023-08-01,83050137.0,768619,97871992,116906192
2023-09-01,76251475.0,713549,87853864,106980046
